Locus_tag	Replicon	Start	End	Type	Strand
SM2011_c00794	Chromosome	814782	815644	gene	-
SM2011_c04884	Chromosome	815622	816031	gene	+
SM2011_c00795	Chromosome	815934	816555	gene	-
SM2011_c06248	Chromosome	816557	816858	gene	-
SM2011_c00796	Chromosome	817038	817305	gene	+
SM2011_c00797	Chromosome	817365	818721	gene	+
SM2011_c00798	Chromosome	818813	819155	gene	+
SM2011_c00799	Chromosome	819117	819725	gene	-
SM2011_c00800	Chromosome	819774	820415	gene	-
SM2011_c00801	Chromosome	820558	821247	gene	+
SM2011_c00802	Chromosome	821312	821857	gene	+
SM2011_c00803	Chromosome	822075	822890	gene	-
SM2011_c06249	Chromosome	822656	822722	gene	+
SM2011_c00804	Chromosome	822999	824232	gene	+
SM2011_c00805	Chromosome	824266	824998	gene	+
SM2011_c06250	Chromosome	824967	825034	gene	-
SM2011_c00806	Chromosome	825156	825552	gene	+
SM2011_c00807	Chromosome	825820	827022	gene	-
SM2011_c00808	Chromosome	827101	828734	gene	-
SM2011_c00809	Chromosome	828914	829209	gene	-
SM2011_c06252	Chromosome	829210	829280	gene	+
SM2011_c06253	Chromosome	829807	829856	gene	-
SM2011_c00842	Chromosome	830175	830248	gene	-
SM2011_c00810	Chromosome	830485	832178	gene	+
SM2011_c00811	Chromosome	832175	832912	gene	+
SM2011_c06255	Chromosome	832559	832634	gene	-
SM2011_c00812	Chromosome	832872	833300	gene	+
SM2011_c00813	Chromosome	833378	834790	gene	-
SM2011_c06256	Chromosome	834293	834360	gene	+
SM2011_c00814	Chromosome	835037	836023	gene	+
SM2011_c06257	Chromosome	835248	835296	gene	-
SM2011_c06258	Chromosome	835671	835740	gene	-
SM2011_c00815	Chromosome	836123	837716	gene	+
SM2011_c00816	Chromosome	837729	838193	gene	+
SM2011_c00817	Chromosome	838306	839183	gene	+
SM2011_c00818	Chromosome	839178	840140	gene	-
SM2011_c00819	Chromosome	840210	841797	gene	+
SM2011_c06259	Chromosome	840598	840684	gene	-
SM2011_c00820	Chromosome	841812	842857	gene	-
SM2011_c00821	Chromosome	842917	843338	gene	+
SM2011_c06260	Chromosome	843342	843424	gene	+
SM2011_c06261	Chromosome	843454	843527	gene	+
SM2011_c00822	Chromosome	843616	843913	gene	+
SM2011_c00823	Chromosome	843913	844329	gene	+
SM2011_c00824	Chromosome	844201	845231	gene	-
SM2011_c00825	Chromosome	845271	846726	gene	-
SM2011_c00826	Chromosome	846850	847587	gene	-
SM2011_c00827	Chromosome	847604	849127	gene	-
SM2011_c00828	Chromosome	849235	849839	gene	-
SM2011_c06263	Chromosome	849841	849991	gene	-
SM2011_c00829	Chromosome	850074	851013	gene	-
SM2011_c00830	Chromosome	851050	852430	gene	+
SM2011_c00831	Chromosome	852350	853272	gene	-
SM2011_c06264	Chromosome	853324	853416	gene	+
SM2011_c00832	Chromosome	853418	854885	gene	+
SM2011_c00833	Chromosome	854882	856099	gene	+
SM2011_c00926	Chromosome	856194	857689	gene	+
SM2011_c00925	Chromosome	857559	858494	gene	-
SM2011_c00924	Chromosome	858650	859519	gene	-
SM2011_c00923	Chromosome	859649	860374	gene	+
SM2011_c00922	Chromosome	860320	861849	gene	-
SM2011_c00921	Chromosome	861908	862419	gene	-
SM2011_c00931	Chromosome	862493	863011	gene	-
SM2011_c00919	Chromosome	863122	864665	gene	+
SM2011_c00918	Chromosome	864671	865810	gene	+
SM2011_c00917	Chromosome	865807	866502	gene	+
SM2011_c00914	Chromosome	867410	868636	gene	+
SM2011_c00913	Chromosome	869072	870774	gene	-
SM2011_c00912	Chromosome	870850	871234	gene	-
SM2011_c00911	Chromosome	871340	872389	gene	+
SM2011_c00910	Chromosome	872531	873404	gene	+
SM2011_c00909	Chromosome	873418	874499	gene	+
SM2011_c06265	Chromosome	873575	873738	gene	-
SM2011_c00908	Chromosome	874502	877648	gene	+
SM2011_c00907	Chromosome	877650	878347	gene	+
SM2011_c00906	Chromosome	878410	879133	gene	+
SM2011_c00905	Chromosome	878933	879417	gene	-
SM2011_c07032	Chromosome	879418	879438	gene	+
SM2011_c07033	Chromosome	879418	879438	gene	-
SM2011_c00904	Chromosome	879439	881178	gene	+
SM2011_c00902	Chromosome	881185	881764	gene	+
SM2011_c00930	Chromosome	881766	882717	gene	+
SM2011_c00900	Chromosome	882946	883332	gene	-
SM2011_c00899	Chromosome	883332	883609	gene	-
SM2011_c00898	Chromosome	883725	885665	gene	-
SM2011_c00897	Chromosome	885691	887055	gene	+
SM2011_c06267	Chromosome	887031	887087	gene	-
SM2011_c00896	Chromosome	887164	887982	gene	+
SM2011_c00895	Chromosome	888014	888279	gene	+
SM2011_c00894	Chromosome	888317	889630	gene	+
SM2011_c06268	Chromosome	889324	889386	gene	-
SM2011_c00893	Chromosome	889667	890377	gene	+
SM2011_c00892	Chromosome	890418	891560	gene	+
SM2011_c00934	Chromosome	891573	892178	gene	-
SM2011_c00891	Chromosome	892112	892519	gene	-
SM2011_c00933	Chromosome	892738	893000	gene	-
SM2011_c00932	Chromosome	893002	894882	gene	-
SM2011_c00888	Chromosome	895017	896986	gene	+
SM2011_c00887	Chromosome	896983	898329	gene	+
SM2011_c00929	Chromosome	898305	899464	gene	-
SM2011_c00886	Chromosome	899348	900911	gene	+
SM2011_c00885	Chromosome	900942	901790	gene	-
SM2011_c00884	Chromosome	901882	903721	gene	-
SM2011_c06269	Chromosome	901971	902045	gene	+
SM2011_c00883	Chromosome	903812	904696	gene	-
SM2011_c00882	Chromosome	904693	905349	gene	-
SM2011_c00881	Chromosome	905346	906266	gene	-
SM2011_c00880	Chromosome	906263	907096	gene	-
SM2011_c00879	Chromosome	907135	908122	gene	+
SM2011_c00878	Chromosome	908125	908981	gene	+
SM2011_c00877	Chromosome	909132	910298	gene	+
SM2011_c06270	Chromosome	909793	909842	gene	-
SM2011_c00876	Chromosome	910348	911689	gene	+
SM2011_c00874	Chromosome	911692	912859	gene	+
SM2011_c00873	Chromosome	912876	914777	gene	+
SM2011_c06271	Chromosome	913792	913891	gene	-
SM2011_c00928	Chromosome	914928	916417	gene	+
SM2011_c00872	Chromosome	916425	916899	gene	+
SM2011_c00871	Chromosome	916901	917701	gene	+
SM2011_c00870	Chromosome	917703	918004	gene	+
SM2011_c00869	Chromosome	918078	918692	gene	+
SM2011_c00868	Chromosome	918706	919254	gene	+
SM2011_c00867	Chromosome	919217	920343	gene	-
SM2011_c07034	Chromosome	919470	919546	gene	+
SM2011_c00866	Chromosome	920393	921589	gene	-
SM2011_c06273	Chromosome	921001	921133	gene	+
SM2011_c00865	Chromosome	921729	922487	gene	+
SM2011_c06274	Chromosome	922345	922412	gene	-
SM2011_c00864	Chromosome	922414	923497	gene	-
SM2011_c06276	Chromosome	923662	923893	gene	-
SM2011_c00863	Chromosome	923940	924529	gene	-
SM2011_c00862	Chromosome	924502	925407	gene	-
SM2011_c00861	Chromosome	925415	927329	gene	-
SM2011_c06277	Chromosome	927023	927109	gene	+
SM2011_c00860	Chromosome	927373	928546	gene	-
SM2011_c00859	Chromosome	928522	928852	gene	+
SM2011_c00858	Chromosome	928821	929657	gene	+
SM2011_c00857	Chromosome	929710	930736	gene	+
SM2011_c00856	Chromosome	930749	931010	gene	+
SM2011_c00855	Chromosome	931065	932510	gene	+
SM2011_c00854	Chromosome	932057	932302	gene	-
SM2011_c00853	Chromosome	932512	933118	gene	+
SM2011_c00852	Chromosome	933120	935132	gene	+
SM2011_c00851	Chromosome	935192	937389	gene	+
SM2011_c00850	Chromosome	937449	937967	gene	+
SM2011_c00849	Chromosome	937978	938601	gene	-
SM2011_c00993	Chromosome	938696	939993	gene	-
SM2011_c00992	Chromosome	940094	942466	gene	-
SM2011_c00991	Chromosome	942463	943526	gene	-
SM2011_c00990	Chromosome	943610	944806	gene	-
SM2011_c00994	Chromosome	944901	945734	gene	+
SM2011_c07035	Chromosome	946018	946033	gene	+
SM2011_c00989	Chromosome	946034	946911	gene	+
SM2011_c00988	Chromosome	946983	948049	gene	+
SM2011_c00987	Chromosome	947942	948654	gene	-
SM2011_c07036	Chromosome	948831	948861	gene	-
SM2011_c00986	Chromosome	948894	951325	gene	+
SM2011_c06280	Chromosome	949160	949238	gene	-
SM2011_c06281	Chromosome	949261	949330	gene	-
SM2011_c06282	Chromosome	949881	950025	gene	-
SM2011_c06283	Chromosome	950912	951001	gene	-
SM2011_c00985	Chromosome	951318	952808	gene	-
SM2011_c00984	Chromosome	952808	953799	gene	-
SM2011_c00983	Chromosome	953801	954480	gene	-
SM2011_c06284	Chromosome	954762	954965	gene	+
SM2011_c00982	Chromosome	955079	956323	gene	+
SM2011_c06285	Chromosome	955106	955159	gene	-
SM2011_c00981	Chromosome	956320	957511	gene	+
SM2011_c00980	Chromosome	957380	958531	gene	-
SM2011_c00979	Chromosome	958691	959220	gene	+
SM2011_c00978	Chromosome	959629	960642	gene	-
SM2011_c00977	Chromosome	960759	962577	gene	+
SM2011_c00976	Chromosome	962587	963339	gene	+
SM2011_c00975	Chromosome	963420	965802	gene	+
SM2011_c00974	Chromosome	965769	967048	gene	-
SM2011_c06286	Chromosome	966581	966655	gene	+
SM2011_c00973	Chromosome	967045	967800	gene	-
SM2011_c00972	Chromosome	967852	969848	gene	-
SM2011_c00971	Chromosome	969976	971077	gene	-
SM2011_c06287	Chromosome	970217	970271	gene	+
SM2011_c06288	Chromosome	970343	970400	gene	+
SM2011_c00970	Chromosome	971126	971377	gene	-
SM2011_c00969	Chromosome	971381	972310	gene	-
SM2011_c00968	Chromosome	972373	973437	gene	-
SM2011_c00967	Chromosome	973335	973756	gene	+
SM2011_c00966	Chromosome	973744	974937	gene	-
SM2011_c00965	Chromosome	974921	976417	gene	-
SM2011_c00964	Chromosome	976422	977010	gene	-
SM2011_c00963	Chromosome	977013	977622	gene	-
SM2011_c00962	Chromosome	977616	978323	gene	-
SM2011_c00961	Chromosome	978428	979629	gene	+
SM2011_c00960	Chromosome	979708	981273	gene	+
SM2011_c06289	Chromosome	980957	980998	gene	-
SM2011_c00068	Chromosome	981155	982562	gene	-
SM2011_c00001	Chromosome	982730	983788	gene	+
SM2011_c00069	Chromosome	983812	984573	gene	-
SM2011_c06290	Chromosome	984241	984335	gene	+
SM2011_c07037	Chromosome	984425	984442	gene	+
SM2011_c00002	Chromosome	984443	985063	gene	+
SM2011_c00003	Chromosome	985151	986384	gene	+
SM2011_c00005	Chromosome	986387	987312	gene	+
SM2011_c06291	Chromosome	986662	986757	gene	-
SM2011_c00006	Chromosome	987314	988109	gene	+
SM2011_c00070	Chromosome	988049	988348	gene	-
SM2011_c00007	Chromosome	988637	989847	gene	+
SM2011_c00008	Chromosome	989939	991088	gene	+
SM2011_c00071	Chromosome	990943	991664	gene	-
SM2011_c06292	Chromosome	991920	991973	gene	+
SM2011_c00009	Chromosome	991977	992924	gene	+
SM2011_c00010	Chromosome	992944	994632	gene	+
SM2011_c00450	Chromosome	994629	995681	gene	+
SM2011_c00130	Chromosome	995681	995821	gene	+
SM2011_c00012	Chromosome	995818	996429	gene	+
SM2011_c00013	Chromosome	996491	997421	gene	+
SM2011_c00014	Chromosome	997511	997947	gene	+
SM2011_c00085	Chromosome	997940	998683	gene	+
SM2011_c00016	Chromosome	998705	999912	gene	+
SM2011_c00017	Chromosome	999914	1000922	gene	+
SM2011_c00018	Chromosome	1000919	1001545	gene	+
SM2011_c00072	Chromosome	1001400	1002111	gene	-
SM2011_c00073	Chromosome	1002132	1003142	gene	-
SM2011_c06293	Chromosome	1002964	1003031	gene	+
SM2011_c00019	Chromosome	1003160	1003882	gene	+
SM2011_c00074	Chromosome	1003926	1006986	gene	-
SM2011_c00075	Chromosome	1006838	1007661	gene	-
SM2011_c00451	Chromosome	1007663	1009127	gene	-
SM2011_c00077	Chromosome	1009038	1010438	gene	-
SM2011_c00078	Chromosome	1010442	1012702	gene	-
SM2011_c00020	Chromosome	1010622	1011504	gene	+
SM2011_c06294	Chromosome	1012703	1012740	gene	+
SM2011_c00079	Chromosome	1012704	1013472	gene	-
SM2011_c00080	Chromosome	1013612	1014336	gene	-
SM2011_c00021	Chromosome	1014470	1015750	gene	+
SM2011_c00081	Chromosome	1015687	1016499	gene	-
SM2011_c00452	Chromosome	1016500	1017618	gene	-
SM2011_c00022	Chromosome	1017636	1018248	gene	+
SM2011_c00023	Chromosome	1018270	1019116	gene	+
SM2011_c05003	Chromosome	1019197	1019418	gene	+
SM2011_c00024	Chromosome	1019415	1022955	gene	+
SM2011_c00025	Chromosome	1022958	1026084	gene	+
SM2011_c00083	Chromosome	1025829	1026461	gene	-
SM2011_c00084	Chromosome	1026487	1026992	gene	-
SM2011_c00026	Chromosome	1027159	1028102	gene	+
SM2011_c00087	Chromosome	1028157	1029143	gene	-
SM2011_c00125	Chromosome	1029319	1029393	gene	+
SM2011_c00027	Chromosome	1029936	1030330	gene	+
SM2011_c06298	Chromosome	1030238	1030284	gene	-
SM2011_c00028	Chromosome	1030415	1033097	gene	+
SM2011_c00088	Chromosome	1033131	1033668	gene	-
SM2011_c00126	Chromosome	1033874	1033950	gene	+
SM2011_c00029	Chromosome	1034172	1034330	gene	+
SM2011_c00089	Chromosome	1034250	1034760	gene	-
SM2011_c00090	Chromosome	1034804	1036350	gene	-
SM2011_c00091	Chromosome	1036350	1037303	gene	-
SM2011_c00092	Chromosome	1037351	1038278	gene	-
SM2011_c00030	Chromosome	1038428	1038814	gene	+
SM2011_c00031	Chromosome	1038814	1039293	gene	+
SM2011_c00093	Chromosome	1039219	1040944	gene	-
SM2011_c00094	Chromosome	1041074	1042618	gene	-
SM2011_c06300	Chromosome	1042277	1042384	gene	+
SM2011_c00127	Chromosome	1042620	1044158	gene	-
SM2011_c06301	Chromosome	1043268	1043323	gene	+
SM2011_c00095	Chromosome	1044230	1044949	gene	-
SM2011_c00032	Chromosome	1045043	1045628	gene	+
SM2011_c00033	Chromosome	1045731	1047536	gene	+
SM2011_c00034	Chromosome	1047591	1048616	gene	+
SM2011_c06302	Chromosome	1048678	1048864	gene	+
SM2011_c00096	Chromosome	1048886	1049623	gene	-
SM2011_c00035	Chromosome	1049669	1050705	gene	+
SM2011_c00036	Chromosome	1050796	1051447	gene	+
SM2011_c06303	Chromosome	1051664	1051733	gene	-
SM2011_c00037	Chromosome	1051802	1052712	gene	+
SM2011_c00097	Chromosome	1052741	1053485	gene	-
SM2011_c00038	Chromosome	1053641	1055984	gene	+
SM2011_c00039	Chromosome	1056074	1056949	gene	+
SM2011_c00098	Chromosome	1056913	1057474	gene	-
SM2011_c00040	Chromosome	1057556	1058051	gene	+
SM2011_c00099	Chromosome	1057923	1058311	gene	-
SM2011_c00100	Chromosome	1058320	1059970	gene	-
SM2011_c06304	Chromosome	1059991	1060142	gene	+
SM2011_c00041	Chromosome	1060144	1060623	gene	+
SM2011_c07038	Chromosome	1060631	1060705	gene	+
SM2011_c00101	Chromosome	1060632	1061504	gene	-
SM2011_c00225	Chromosome	1061599	1062690	gene	-
SM2011_c06306	Chromosome	1062141	1062208	gene	+
SM2011_c00103	Chromosome	1062704	1063489	gene	-
SM2011_c00104	Chromosome	1063491	1064126	gene	-
SM2011_c00105	Chromosome	1064167	1065233	gene	-
SM2011_c00042	Chromosome	1065307	1066244	gene	+
SM2011_c06307	Chromosome	1066081	1066170	gene	-
SM2011_c06308	Chromosome	1066219	1066279	gene	-
SM2011_c00106	Chromosome	1066392	1066802	gene	-
SM2011_c00043	Chromosome	1066859	1067679	gene	+
SM2011_c00107	Chromosome	1067691	1068460	gene	-
SM2011_c00044	Chromosome	1068524	1069182	gene	+
SM2011_c00045	Chromosome	1069346	1069836	gene	+
SM2011_c00086	Chromosome	1069958	1070872	gene	+
SM2011_c00108	Chromosome	1070893	1071542	gene	-
SM2011_c00109	Chromosome	1071545	1072079	gene	-
SM2011_c00047	Chromosome	1072286	1073176	gene	+
SM2011_c06309	Chromosome	1072789	1072887	gene	-
SM2011_c00110	Chromosome	1073221	1075618	gene	-
SM2011_c00453	Chromosome	1075677	1077391	gene	-
SM2011_c07039	Chromosome	1075750	1075807	gene	+
SM2011_c00112	Chromosome	1077559	1077792	gene	-
SM2011_c00454	Chromosome	1077783	1078085	gene	-
SM2011_c00114	Chromosome	1078098	1080335	gene	-
SM2011_c00115	Chromosome	1080393	1081340	gene	-
SM2011_c06310	Chromosome	1081393	1081619	gene	+
SM2011_c00048	Chromosome	1081628	1082065	gene	+
SM2011_c00049	Chromosome	1082126	1082470	gene	+
SM2011_c00455	Chromosome	1082620	1083460	gene	+
SM2011_c00116	Chromosome	1083684	1084284	gene	-
SM2011_c06312	Chromosome	1083901	1084031	gene	+
SM2011_c00117	Chromosome	1084296	1084804	gene	-
SM2011_c00051	Chromosome	1084993	1087411	gene	+
SM2011_c00052	Chromosome	1087408	1087827	gene	+
SM2011_c00053	Chromosome	1087827	1088204	gene	+
SM2011_c00054	Chromosome	1088211	1089776	gene	+
SM2011_c00055	Chromosome	1089773	1090249	gene	+
SM2011_c00056	Chromosome	1090246	1090617	gene	+
SM2011_c00057	Chromosome	1090614	1091045	gene	+
SM2011_c06313	Chromosome	1091048	1091100	gene	+
SM2011_c00058	Chromosome	1091102	1091892	gene	+
SM2011_c00118	Chromosome	1091856	1092518	gene	-
SM2011_c00456	Chromosome	1092520	1093100	gene	-
SM2011_c00059	Chromosome	1093473	1095147	gene	+
SM2011_c00060	Chromosome	1095119	1096078	gene	+
SM2011_c00061	Chromosome	1096150	1096613	gene	+
SM2011_c00120	Chromosome	1096554	1097861	gene	-
SM2011_c00062	Chromosome	1097988	1098687	gene	+
SM2011_c00063	Chromosome	1098806	1099126	gene	+
SM2011_c06314	Chromosome	1099256	1099634	gene	+
SM2011_c00128	Chromosome	1099692	1100237	gene	-
SM2011_c00457	Chromosome	1100230	1100885	gene	-
SM2011_c00122	Chromosome	1100915	1103181	gene	-
SM2011_c00064	Chromosome	1103218	1103737	gene	+
SM2011_c00123	Chromosome	1103720	1104134	gene	-
SM2011_c07040	Chromosome	1104135	1104373	gene	-
SM2011_c06317	Chromosome	1104576	1104625	gene	-
SM2011_c00065	Chromosome	1104659	1104938	gene	+
SM2011_c00458	Chromosome	1104979	1105650	gene	+
SM2011_c00129	Chromosome	1105640	1107025	gene	+
SM2011_c06318	Chromosome	1105917	1106000	gene	-
SM2011_c00067	Chromosome	1107146	1107720	gene	+
SM2011_c02361	Chromosome	1107822	1108967	gene	+
SM2011_c02362	Chromosome	1108964	1109416	gene	+
SM2011_c02363	Chromosome	1109413	1111443	gene	+
SM2011_c02364	Chromosome	1111450	1111959	gene	+
SM2011_c02365	Chromosome	1112087	1113847	gene	+
SM2011_c02366	Chromosome	1113920	1114621	gene	+
SM2011_c02367	Chromosome	1114618	1116015	gene	+
SM2011_c02368	Chromosome	1116028	1119010	gene	+
SM2011_c06319	Chromosome	1116661	1116753	gene	-
SM2011_c02369	Chromosome	1119021	1121491	gene	-
SM2011_c02370	Chromosome	1121630	1124379	gene	-
SM2011_c06321	Chromosome	1123926	1123979	gene	+
SM2011_c06322	Chromosome	1124421	1124501	gene	-
SM2011_c06323	Chromosome	1124503	1124594	gene	-
SM2011_c02371	Chromosome	1124695	1125720	gene	+
SM2011_c02372	Chromosome	1125730	1127019	gene	-
SM2011_c02373	Chromosome	1127215	1127439	gene	-
SM2011_c02374	Chromosome	1127477	1127682	gene	-
SM2011_c02375	Chromosome	1127726	1128652	gene	-
SM2011_c02376	Chromosome	1128725	1130018	gene	-
SM2011_c06324	Chromosome	1130157	1130231	gene	+
SM2011_c02377	Chromosome	1130233	1132022	gene	+
SM2011_c06325	Chromosome	1132067	1132139	gene	-
SM2011_c02378	Chromosome	1132221	1133484	gene	+
SM2011_c06326	Chromosome	1132806	1132853	gene	-
SM2011_c02379	Chromosome	1133588	1134617	gene	+
SM2011_c06327	Chromosome	1133910	1134018	gene	-
SM2011_c02380	Chromosome	1134633	1135646	gene	-
SM2011_c02381	Chromosome	1135700	1136171	gene	+
SM2011_c02382	Chromosome	1136256	1137213	gene	+
SM2011_c06328	Chromosome	1136668	1136725	gene	-
SM2011_c02383	Chromosome	1137190	1138716	gene	-
SM2011_c02384	Chromosome	1138709	1139730	gene	-
SM2011_c02385	Chromosome	1139791	1140780	gene	+
SM2011_c02386	Chromosome	1140761	1142312	gene	-
SM2011_c02387	Chromosome	1142391	1142727	gene	-
SM2011_c06329	Chromosome	1142392	1142460	gene	+
SM2011_c02388	Chromosome	1142786	1142959	gene	-
SM2011_c02389	Chromosome	1142973	1143184	gene	-
SM2011_c02390	Chromosome	1143359	1144155	gene	+
SM2011_c02391	Chromosome	1144307	1144759	gene	-
SM2011_c02392	Chromosome	1145049	1145684	gene	+
SM2011_c02393	Chromosome	1145521	1146672	gene	-
SM2011_c02409	Chromosome	1146926	1147018	gene	+
SM2011_c06331	Chromosome	1147023	1147322	gene	-
SM2011_c02394	Chromosome	1147312	1147620	gene	-
SM2011_c02461	Chromosome	1147634	1147947	gene	-
SM2011_c02396	Chromosome	1148495	1149705	gene	+
SM2011_c02397	Chromosome	1149758	1150701	gene	-
SM2011_c02398	Chromosome	1150952	1151359	gene	+
SM2011_c05004	Chromosome	1151287	1151772	gene	-
SM2011_c02399	Chromosome	1151293	1151898	gene	+
SM2011_c02400	Chromosome	1151921	1152991	gene	-
SM2011_c02401	Chromosome	1153184	1153700	gene	-
SM2011_c02403	Chromosome	1153796	1155920	gene	-
SM2011_c02404	Chromosome	1156113	1157066	gene	+
SM2011_c02405	Chromosome	1157066	1157823	gene	+
SM2011_c02406	Chromosome	1158133	1162368	gene	-
SM2011_c06334	Chromosome	1159873	1159929	gene	+
SM2011_c02407	Chromosome	1162727	1163649	gene	-
SM2011_c06336	Chromosome	1163218	1163393	gene	+
SM2011_c06338	Chromosome	1163651	1163709	gene	-
SM2011_c02408	Chromosome	1163799	1164391	gene	+
SM2011_c02659	Chromosome	1164421	1166646	gene	+
SM2011_c06340	Chromosome	1164609	1164733	gene	-
SM2011_c06341	Chromosome	1164781	1164838	gene	-
SM2011_c02658	Chromosome	1166696	1166929	gene	+
SM2011_c02657	Chromosome	1166926	1167255	gene	+
SM2011_c02656	Chromosome	1167317	1167623	gene	+
SM2011_c02655	Chromosome	1167586	1168360	gene	+
SM2011_c02654	Chromosome	1168357	1168776	gene	+
SM2011_c02653	Chromosome	1168787	1169679	gene	+
SM2011_c02652	Chromosome	1169679	1170395	gene	+
SM2011_c02651	Chromosome	1170392	1171508	gene	+
SM2011_c02650	Chromosome	1171346	1172071	gene	-
SM2011_c02649	Chromosome	1172064	1172486	gene	-
SM2011_c02648	Chromosome	1172483	1173184	gene	-
SM2011_c02647	Chromosome	1173184	1173597	gene	-
SM2011_c02646	Chromosome	1173655	1174699	gene	-
SM2011_c06342	Chromosome	1174917	1174976	gene	+
SM2011_c02645	Chromosome	1174979	1176628	gene	+
SM2011_c02644	Chromosome	1176662	1179035	gene	+
SM2011_c02642	Chromosome	1179037	1179591	gene	+
SM2011_c02641	Chromosome	1179386	1181077	gene	-
SM2011_c02640	Chromosome	1181079	1182143	gene	-
SM2011_c02639	Chromosome	1182189	1182522	gene	-
SM2011_c02638	Chromosome	1182551	1183055	gene	+
SM2011_c02637	Chromosome	1183065	1183531	gene	+
SM2011_c06343	Chromosome	1183251	1183346	gene	-
SM2011_c02636	Chromosome	1183433	1184206	gene	-
SM2011_c02635	Chromosome	1184397	1185149	gene	+
SM2011_c02634	Chromosome	1185446	1187449	gene	-
SM2011_c02633	Chromosome	1187661	1190480	gene	+
SM2011_c02632	Chromosome	1190477	1191133	gene	+
SM2011_c02631	Chromosome	1191145	1192063	gene	+
SM2011_c02603	Chromosome	1192191	1193479	gene	+
SM2011_c02601	Chromosome	1193525	1194691	gene	+
SM2011_c02599	Chromosome	1194741	1196339	gene	+
SM2011_c02598	Chromosome	1196389	1197360	gene	+
SM2011_c02597	Chromosome	1197362	1197992	gene	+
SM2011_c06345	Chromosome	1198091	1198309	gene	-
SM2011_c06346	Chromosome	1198430	1198505	gene	-
SM2011_c06347	Chromosome	1198647	1198711	gene	-
SM2011_c02661	Chromosome	1198772	1200492	gene	+
SM2011_c06348	Chromosome	1200269	1200348	gene	-
SM2011_c02571	Chromosome	1200494	1201816	gene	+
SM2011_c06349	Chromosome	1200629	1200677	gene	-
SM2011_c02660	Chromosome	1201813	1202310	gene	+
SM2011_c02565	Chromosome	1202484	1203488	gene	-
SM2011_c02561	Chromosome	1203442	1203981	gene	-
SM2011_c02559	Chromosome	1203978	1204586	gene	-
SM2011_c02558	Chromosome	1204583	1205452	gene	-
SM2011_c02557	Chromosome	1205461	1206283	gene	-
SM2011_c02556	Chromosome	1206299	1206662	gene	-
SM2011_c02555	Chromosome	1206727	1207170	gene	-
SM2011_c02554	Chromosome	1207167	1207658	gene	-
SM2011_c02553	Chromosome	1207688	1208470	gene	+
SM2011_c02552	Chromosome	1208536	1208843	gene	-
SM2011_c07042	Chromosome	1208536	1208620	gene	+
SM2011_c06351	Chromosome	1208845	1208937	gene	-
SM2011_c02551	Chromosome	1209058	1210611	gene	+
SM2011_c06352	Chromosome	1209298	1209420	gene	-
SM2011_c06353	Chromosome	1209964	1210060	gene	-
SM2011_c02550	Chromosome	1210620	1211144	gene	+
SM2011_c02549	Chromosome	1211141	1211620	gene	+
SM2011_c02548	Chromosome	1211617	1212117	gene	+
SM2011_c02547	Chromosome	1212114	1213076	gene	+
SM2011_c06354	Chromosome	1213013	1213102	gene	-
SM2011_c02546	Chromosome	1213131	1214866	gene	+
SM2011_c02545	Chromosome	1214868	1215975	gene	+
SM2011_c02544	Chromosome	1215915	1216622	gene	-
SM2011_c02543	Chromosome	1216716	1218710	gene	+
SM2011_c00550	Chromosome	1218741	1220704	gene	+
SM2011_c06355	Chromosome	1220002	1220053	gene	-
SM2011_c00551	Chromosome	1220706	1221429	gene	+
SM2011_c00552	Chromosome	1221439	1222308	gene	+
SM2011_c00553	Chromosome	1222839	1223653	gene	-
SM2011_c00554	Chromosome	1223665	1225155	gene	-
SM2011_c00555	Chromosome	1225302	1226188	gene	-
SM2011_c00556	Chromosome	1225970	1227440	gene	-
SM2011_c00557	Chromosome	1227479	1228636	gene	-
SM2011_c00558	Chromosome	1228770	1229627	gene	+
SM2011_c06356	Chromosome	1228863	1228919	gene	-
SM2011_c00559	Chromosome	1229688	1230462	gene	+
SM2011_c00560	Chromosome	1230459	1230761	gene	+
SM2011_c00561	Chromosome	1230751	1232443	gene	-
SM2011_c06357	Chromosome	1231131	1231181	gene	+
SM2011_c06358	Chromosome	1231753	1231809	gene	+
SM2011_c06359	Chromosome	1232458	1232616	gene	-
SM2011_c00562	Chromosome	1232695	1233186	gene	+
SM2011_c00563	Chromosome	1233183	1234778	gene	+
SM2011_c06361	Chromosome	1234581	1234672	gene	-
SM2011_c00564	Chromosome	1234775	1235863	gene	+
SM2011_c00565	Chromosome	1235908	1236685	gene	-
SM2011_c00566	Chromosome	1236721	1237704	gene	-
SM2011_c00567	Chromosome	1237706	1238116	gene	-
SM2011_c00568	Chromosome	1238142	1238806	gene	-
SM2011_c00569	Chromosome	1238935	1239267	gene	+
SM2011_c00570	Chromosome	1239294	1240443	gene	-
SM2011_c06363	Chromosome	1240482	1240542	gene	+
SM2011_c00571	Chromosome	1240554	1241616	gene	+
SM2011_c00572	Chromosome	1241641	1242540	gene	+
SM2011_c00573	Chromosome	1242542	1243004	gene	+
SM2011_c00574	Chromosome	1243094	1244712	gene	+
SM2011_c00575	Chromosome	1244714	1246201	gene	+
SM2011_c00576	Chromosome	1246214	1247180	gene	+
SM2011_c00577	Chromosome	1247184	1247843	gene	+
SM2011_c00578	Chromosome	1247906	1248034	gene	+
SM2011_c07043	Chromosome	1248111	1248234	gene	+
